epoch,loss,auc_roc,auc_pr,acc,val_loss,val_auc_roc,val_auc_pr,val_acc
1,0.6929971360440315,0.5380942103275239,0.5402743133668817,0.5331010452961672,0.6851879412288865,0.712024087024087,0.7301597202584988,0.6132404181184669
2,0.6805525966914551,0.582846813791615,0.5827168549957551,0.554006968641115,0.6825193877004165,0.7177059052059053,0.7322961291792713,0.5017421602787456
3,0.6581965744426165,0.6880159715102789,0.6923087642302874,0.6376306620209059,0.6498360451090212,0.7267385392385391,0.7303549416771165,0.6550522648083623
4,0.61726114891132,0.7531268547995468,0.7411797993947474,0.6782810685249709,0.6161081865689481,0.7428127428127428,0.7494426707128584,0.6759581881533101
5,0.5754741165834575,0.7907570280041007,0.7704506365634827,0.7235772357723578,0.6077933029015306,0.7415986790986792,0.7453291961350128,0.6341463414634146
6,0.5482692109306238,0.8031241569092971,0.7831781124998817,0.7212543554006968,0.6859621652742711,0.725378787878788,0.6842211662161739,0.6306620209059234
7,0.5348157838385003,0.8119354664652243,0.800545953936675,0.7409988385598142,0.6874363397471996,0.7314491064491063,0.742534316637102,0.6480836236933798
8,0.5199826680270914,0.8245184265904063,0.8136207423694998,0.7479674796747967,0.6183213091062751,0.750631313131313,0.7500875822464697,0.7038327526132404
9,0.47750841532850097,0.8545135703879566,0.8436717715774757,0.7839721254355401,0.6525220007015853,0.7516025641025642,0.6992837776965296,0.662020905923345
10,0.4681692909834415,0.8605028867425674,0.8550320194138095,0.7804878048780488,0.6293988543520406,0.7606351981351981,0.755685251369624,0.6933797909407665
11,0.4620603756345246,0.8656504613392327,0.8592099796937555,0.7932636469221835,0.6717107354140863,0.7437839937839937,0.7643947412358196,0.6829268292682927
12,0.4168239963456175,0.8914099174445584,0.8873810403941921,0.81068524970964,0.8474953349043683,0.7003690753690753,0.7306152730616087,0.6480836236933798
13,0.4098364246293089,0.8949765283548266,0.8928612236382611,0.8072009291521487,0.7675027315624915,0.742472804972805,0.7449872108772544,0.6898954703832753
14,0.37360395205560876,0.914708897642044,0.9128942372554085,0.8292682926829268,0.7441036277531746,0.7273212898212897,0.7419177885057274,0.6689895470383276
15,0.32444377117179135,0.9354502778826957,0.9333689788847163,0.8699186991869918,0.744044048030202,0.747426184926185,0.7431103492557674,0.6829268292682927
16,0.32364087376168105,0.9353369664922031,0.9196849271027333,0.8664343786295006,0.9947346777035384,0.6985236985236984,0.7027404363376202,0.6376306620209059
